Timestamp,Ticker,Sector,Regime,CFA,Quant,Sentiment,Macro,Final,Verdict,LastClose,RSI14,ATR,ST_Stop,ST_Target,MT_Stop,MT_Target,LT_Stop,LT_Target,Shares,Risk/Share
,GLD,,neutral,50.0,64.0,52.0,30.0,54.0,HOLD,362.32,46.7,7.246,347.83,376.81,339.18,397.55,286.46,344.43,6,14.49
,AAPL,Technology,neutral,59.0,85.2,59.7,30.0,67.6,BUY,270.04,67.5,5.401,259.24,280.84,239.13,276.01,207.21,250.41,9,10.8
,MSFT,Technology,neutral,65.0,63.5,53.0,30.0,60.0,HOLD,514.33,45.0,10.287,493.76,534.9,493.65,551.54,430.25,512.55,4,20.57
,NVDA,Technology,neutral,56.0,82.6,52.0,30.0,63.9,HOLD,198.69,58.8,3.974,190.74,206.64,174.92,201.97,136.95,168.74,12,7.95
,GLD,,neutral,50.0,64.0,50.7,30.0,53.7,HOLD,362.32,46.7,7.246,347.83,376.81,339.18,397.55,286.46,344.43,6,14.49
,AAPL,Technology,neutral,59.0,85.2,58.3,30.0,67.3,BUY,270.04,67.5,5.401,259.24,280.84,239.13,276.01,207.21,250.41,9,10.8
,MSFT,Technology,neutral,65.0,63.5,52.6,30.0,59.9,HOLD,514.33,45.0,10.287,493.76,534.9,493.65,551.54,430.25,512.55,4,20.57
,NVDA,Technology,neutral,56.0,82.6,57.2,30.0,64.9,HOLD,198.69,58.8,3.974,190.74,206.64,174.92,201.97,136.95,168.74,12,7.95
,GLD,,neutral,50.0,64.0,50.7,30.0,53.7,HOLD,362.32,46.7,7.246,347.83,376.81,339.18,397.55,286.46,344.43,6,14.49
,AAPL,Technology,neutral,59.0,85.2,58.3,30.0,67.3,BUY,270.04,67.5,5.401,259.24,280.84,239.13,276.01,207.21,250.41,9,10.8
,MSFT,Technology,neutral,65.0,63.5,52.6,30.0,59.9,HOLD,514.33,45.0,10.287,493.76,534.9,493.65,551.54,430.25,512.55,4,20.57
,NVDA,Technology,neutral,56.0,82.6,57.2,30.0,64.9,HOLD,198.69,58.8,3.974,190.74,206.64,174.92,201.97,136.95,168.74,12,7.95
,GLD,,neutral,50.0,64.0,52.0,30.0,54.0,HOLD,362.32,46.7,7.246,347.83,376.81,339.18,397.55,286.46,344.43,6,14.49
,AAPL,Technology,neutral,59.0,85.2,58.3,30.0,67.3,BUY,270.04,67.5,5.401,259.24,280.84,239.13,276.01,207.21,250.41,9,10.8
,MSFT,Technology,neutral,65.0,63.5,52.6,30.0,59.9,HOLD,514.33,45.0,10.287,493.76,534.9,493.65,551.54,430.25,512.55,4,20.57
,NVDA,Technology,neutral,56.0,82.6,56.2,30.0,64.7,HOLD,198.69,58.8,3.974,190.74,206.64,174.92,201.97,136.95,168.74,12,7.95
,GLD,,neutral,50.0,64.0,52.0,30.0,54.0,HOLD,362.32,46.7,7.246,347.83,376.81,339.18,397.55,286.46,344.43,6,14.49
,AAPL,Technology,neutral,59.0,85.2,58.3,30.0,67.3,BUY,270.04,67.5,5.401,259.24,280.84,239.13,276.01,207.21,250.41,9,10.8
,MSFT,Technology,neutral,65.0,63.5,55.5,30.0,60.5,HOLD,514.33,45.0,10.287,493.76,534.9,493.65,551.54,430.25,512.55,4,20.57
,NVDA,Technology,neutral,56.0,82.6,57.2,30.0,64.9,HOLD,198.69,58.8,3.974,190.74,206.64,174.92,201.97,136.95,168.74,12,7.95
,GLD,,neutral,50.0,64.0,52.0,30.0,54.0,HOLD,362.32,46.7,7.246,347.83,376.81,339.18,397.55,286.46,344.43,6,14.49
,AAPL,Technology,neutral,59.0,85.2,58.3,30.0,67.3,BUY,270.04,67.5,5.401,259.24,280.84,239.13,276.01,207.21,250.41,9,10.8
,MSFT,Technology,neutral,65.0,63.5,55.5,30.0,60.5,HOLD,514.33,45.0,10.287,493.76,534.9,493.65,551.54,430.25,512.55,4,20.57
,NVDA,Technology,neutral,56.0,82.6,57.2,30.0,64.9,HOLD,198.69,58.8,3.974,190.74,206.64,174.92,201.97,136.95,168.74,12,7.95
